title,halId
10 years of IASI CO retrievals,insu-01969098
10 years of IASI CO retrievals,insu-01967713
Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01569589
Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01565255
Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-01340847
Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-02743075
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421030
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01261559
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01251347
Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421020
"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01211601
"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01246645
Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01567802
Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01564611
DORIS: Discovering Ontological Relations In Services,hal-01417095
DORIS: Discovering Ontological Relations in Services,hal-01421837
Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01160267
Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01159021
Droit de la consommation,halshs-02215419
Droit de la consommation,halshs-02450097
Droit de la consommation,halshs-02216061
Droit de la consommation,halshs-02214610
Droit des biens,halshs-01844163
Droit des biens,halshs-02450227
Droit des biens,halshs-02215553
Droit des biens,halshs-02216355
Droit des biens,halshs-02214924
Droit des étrangers et de la nationalité,halshs-02215383
Droit des étrangers et de la nationalité,halshs-02214578
Droit des étrangers et de la nationalité,halshs-01843901
Droit des étrangers et de la nationalité,halshs-02450062
Droit des étrangers et de la nationalité,halshs-02216029
Droit international privé,halshs-02214725
Droit international privé,halshs-02215468
Droit international privé,halshs-01844195
Droit international privé,halshs-02450143
Droit international privé,halshs-02216155
Evidence for Convective Invigoration from A-Train Observations,insu-01254940
Evidence for Convective Invigoration from A-Train Observations,insu-01448611
Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556301
Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556305
Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01556307
Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01668288
First In Situ Wet Chemistry Experiment on Mars Using the SAM Instrument: MTBSTFA Derivatization on a Martian Mudstone,hal-01815632
First in situ wet chemistry experiment on Mars using the SAM instrument: MTBSTFA derivatization on a martian mudstone,insu-01183000
Gérer les conflits inter-organisationnels dans les alliances stratégiques internationales : prévenir ou guérir ?,hal-02437658
Gérer les conflits inter-organisationnels dans les alliances stratégiques internationales : prévenir ou guérir ?,hal-02789310
IASI satellite observation of pollutants: best of 2017-2018,insu-01968276
IASI satellite observation of pollutants: best of 2017-2018,insu-01970483
Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147889
Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147917
Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147929
Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147879
Influence of iron corrosion on nuclear glass alteration processes: nanoscale investigations of the iron-containing phases,cea-02331789
Influence of iron corrosion on nuclear glass alteration processes: nanoscale investigations of the iron-containing phases,cea-02331802
L'union du droit à la protection des données à caractère personnel et du droit à la vie privée,halshs-02448611
L'union du droit à la protection des données à caractère personnel et du droit à la vie privée,halshs-02449219
La bonne foi dans l’arbitrage,hal-02496460
La bonne foi dans l’arbitrage »,hal-02496489
La genèse de l'économie collaborative : le concept de communauté,halshs-02227350
La genèse de l’économie collaborative : le concept de communauté,hal-02497251
La régulation de l'Open data,halshs-02448579
La régulation de l'open data,hal-02497596
"Le ""smart contract"" et le droit des contrats : dans l'univers de la mode",hal-02497568
Le bagne colonial de Guyane française (XIXe-XXe siècles) : les transportés au camp de la transportation de Saint-Laurent-du-Maroni,hal-02906413
Le bagne colonial de Guyane française (XIXe-XXe siècles) : les transportés au camp de la transportation de Saint-Laurent-du-Maroni,hal-02507583
Le smart contract et le droit des contrats : dans l'univers de la mode,halshs-02227483
L’impact du défaut de qualité sur l’économie de la culture au Cameroun.,halshs-01885599
L’impact du défaut de qualité sur l’économie de la culture au Cameroun.,halshs-01886553
Mars Express science highlights and future plans,insu-01622451
Mars Express science highlights and future plans,insu-01915451
Mars Express science highlights and future plans,insu-02333695
Metallic ZnO nanocrystals for Mid IR plasmonics,hal-02269801
Metallic ZnO nanocrystals for Mid IR plasmonics,hal-01875130
New methodology of ICP-MS for femtosecond laser ablation for direct dating of ostrich eggshells via U-series disequilibrium,hal-01841710
New methodology of ICP-MS for femtosecond laser ablation for direct dating of ostrich eggshells via U-series disequilibrium,hal-01841729
Ozone Vertical Distribution on Mars from Spicam/mex UV Occultations,insu-01915159
Ozone vertical distribution on Mars from SPICAM/MEX UV occultations,insu-01914931
Patterns de caractéristiques d'organisation du travail chez les salariés des Pays de la Loire,halshs-01307785
Patterns de caractéristiques d'organisation du travail chez les salariés des Pays de la Loire,hal-02921550
Policy analysis in France,hal-01693040
Policy analysis in France,halshs-01674756
Relations entre karst et glaciers depuis 450 ka dans les grottes de Niaux-Lombrives-Sabart (Pyrénées ariégeoises) : nouvelles datations U/Th dans la grotte de Niaux.,hal-01935529
Relations entre karst et glaciers depuis 450 ka dans les grottes de Niaux-Lombrives-Sabart (Pyrénées ariégeoises) Nouvelles datations U/Th dans la grotte de Niaux.,hal-02154823
SEP2P: Secure and Efficient P2P Personal Data Processing,hal-02269216
SEP2P: Secure and Efficient P2P Personal Data Processing,hal-02269222
SEP2P: Secure and Efficient P2P Personal Data Processing,hal-01949641
Spectrum of deformed random matrices and free probability,hal-01973658
Spectrum of deformed random matrices and free probability,hal-01346371
The Venus Emissivity Mapper (VEM) Concept,insu-01283782
The Venus Emissivity Mapper (VEM) concept,insu-01350535
Three-dimensional distribution of a major Saharan dust outbreak in June 2011 derived from IASI satellite observations,insu-01313153
Three-dimensional distribution of a major Saharan dust outbreak in June 2011 derived from IASI satellite observations,insu-01306503
Trustworthy Distributed Computations on Personal Data Using Trusted Execution Environments,hal-02269200
Trustworthy Distributed Computations on Personal Data Using Trusted Execution Environments,hal-02269211
Using digital elevation models and image processing to follow clod evolution under rainfall,hal-01698492
Using digital elevation models and image processing to follow clod evolution under rainfall,insu-01767620
VESPA: Developing the Planetary Science Virtual Observatory in H2020,insu-01211164
VESPA: Developing the Planetary Science Virtual Observatory in H2020,insu-01248550
Vertical distribution of ozone at the terminator on Mars,insu-01485449
Vertical distribution of ozone at the terminator on Mars,insu-01380327
XPS of isolated nanoparticles,cea-02358548
XPS of isolated nanoparticles,cea-02358547
l'esprit des villes,halshs-01277459
l'esprit des villes,halshs-01277461
